pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
103.93,-56.7675,90.0,top,C1,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
103.93,-67.9975,90.0,top,C2,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
103.93,-62.3125,90.0,top,C3,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
95.9075,-60.81,0.0,top,C4,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
95.9075,-72.24,0.0,top,C5,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
99.7175,-60.81,0.0,top,C6,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
95.9075,-66.525,0.0,top,C7,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
99.7175,-72.24,0.0,top,C8,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
99.7175,-66.525,0.0,top,C9,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
86.785,-58.27,180.0,bottom,J1,,,PinHeader_1x05_P2.54mm_Vertical,INPUT,tht
108.375,-57.0,180.0,bottom,J2,,,PinHeader_1x06_P2.54mm_Vertical,OUTPUT,tht
90.595,-61.35,90.0,top,R1,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,17KΩ,smt
92.5,-61.35,-90.0,top,R2,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3KΩ,smt
90.595,-69.335,90.0,top,R3,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,19KΩ,smt
92.5,-69.335,90.0,top,R4,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1KΩ,smt
99.0575,-57.975,180.0,top,U1,TLV3202AID,,VSSOP-8_3x3mm_P0.65mm,TLV3232,smt
99.2775,-69.36,180.0,top,U2,TLV3202AID,,VSSOP-8_3x3mm_P0.65mm,TLV3232,smt
99.0575,-63.69,180.0,top,U3,TLV3202AID,,VSSOP-8_3x3mm_P0.65mm,TLV3232,smt
