Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Height,Mouser Part Number,Mouser Price/Stock,Manufacturer_Name
"C1, C2, C3, C4, C5, C6, C7, C8, C9",9,100nF,C_Disc_D3.4mm_W2.1mm_P2.50mm,,,,tht,,,,,
"H1, H2, H3, H4",4,MountingHole,MountingHole_3.2mm_M3,,,,tht,,,,,
J1,1,+5V IN,BarrelJack_Horizontal,,,,tht,DC Barrel Jack,,,,
J2,1,CPC PLUS AUDIO OUT,SJ335083ATR,,,,tht,"Audio Jack, 3 Poles (Stereo / TRS)",,,,
J3,1,CPC PLUS VIDEO IN,SDF80J,,,,tht,Same Sky SDF-80J 8-pin DIN socket,,,,
J4,1,CPC VIDEO IN,SDF80J,,,,tht,Same Sky SDF-60J 6-pin DIN Socket,,,,
J5,1,VFREQ,PinHeader_1x02_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,
J6,1,VGA OUT,DSUB-15-HD_Socket_Horizontal_P2.29x2.54mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm,,,,tht,"15-pin D-SUB connector, socket (female), High density (3 columns), Triple Row, Generic, VGA-connector, Mounting Hole",,,,
"R1, R13",2,1KΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,"Resistor, small symbol",,,,
"R10, R16, R7",3,47Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,"Resistor, small symbol",,,,
"R11, R15, R17, R6, R8, R9",6,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,"Resistor, small symbol",,,,
"R12, R2",2,100Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,"Resistor, small symbol",,,,
"R14, R18, R5",3,75Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,"Resistor, small symbol",,,,
R3,1,68Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,"Resistor, small symbol",,,,
R4,1,22Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,"Resistor, small symbol",,,,
SW1,1,RESET,SW_PUSH_6mm,,,,tht,"Push button switch, generic, two pins",,,,
"U1, U2, U4",3,TLV3202AID,SOIC-8_3.9x4.9mm_P1.27mm,,TLV3202AID,,smt,"Dual, 40ns, microPower, Rail-to-Rail input  Comparator with Push-pull outputs",1.75,595-TLV3202AID,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TLV3202AID?qs=b5Ofe9I6AaEPCPyfWxMBkg%3D%3D,Texas Instruments
U3,1,RASPBERRY PI PICO,RaspberryPi_Pico_Common_Unspecified,,,,tht,"Versatile and inexpensive microcontroller module powered by RP2040 dual-core Arm Cortex-M0+ processor up to 133 MHz, 264kB SRAM, 2MB QSPI flash; also supports Raspberry Pi Pico 2",,,,
