pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
144.214995,-64.095995,90.0,top,C1,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,100nF,tht
117.544995,-55.205995,0.0,top,C10,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,100nF,tht
149.802995,-64.095995,90.0,top,C2,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,100nF,tht
147.008995,-64.095995,90.0,top,C3,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,100nF,tht
134.054995,-64.095995,90.0,top,C4,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,100nF,tht
139.642995,-64.095995,90.0,top,C5,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,100nF,tht
136.848995,-64.095995,90.0,top,C6,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,100nF,tht
123.894995,-64.095995,90.0,top,C7,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,100nF,tht
129.482995,-64.095995,90.0,top,C8,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,100nF,tht
126.688995,-64.095995,90.0,top,C9,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,100nF,tht
159.455995,-61.840995,-90.0,top,J1,,,BarrelJack_Horizontal,+5V IN,tht
84.988995,-112.484995,0.0,top,J2,,,SJ335083ATR,CPC PLUS AUDIO OUT,tht
174.520995,-102.155995,90.0,top,J3,,,SDF80J,CPC PLUS VIDEO IN,tht
174.520995,-62.390995,90.0,top,J4,,,SDF80J,CPC VIDEO IN,tht
143.706995,-105.497995,0.0,top,J5,,,PinHeader_1x02_P2.54mm_Vertical,VFREQ,tht
96.208995,-93.051995,-90.0,top,J6,,,DSUB-15-HD_Socket_Horizontal_P2.29x2.54mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm,VGA OUT,tht
91.052995,-63.333995,-90.0,top,J7,,,1560099E,LUM OUT,tht
149.548995,-121.245995,-90.0,top,J8,,,PinHeader_1x04_P2.54mm_Vertical,SPARE GPIO,tht
148.786995,-50.125995,-90.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1KΩ,tht
108.908995,-76.414995,180.0,top,R10,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,220Ω,tht
108.908995,-73.239995,180.0,top,R11,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,47Ω,tht
108.908995,-79.589995,180.0,top,R12,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,220Ω,tht
108.908995,-88.479995,180.0,top,R13,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,220Ω,tht
101.288995,-91.654995,0.0,top,R14,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,47Ω,tht
108.908995,-85.304995,180.0,top,R15,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,220Ω,tht
108.908995,-97.369995,180.0,top,R16,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,220Ω,tht
101.288995,-103.719995,0.0,top,R17,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,47Ω,tht
108.908995,-100.544995,180.0,top,R18,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,220Ω,tht
134.816995,-50.125995,-90.0,top,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,100Ω,tht
145.484995,-57.745995,90.0,top,R3,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,68Ω,tht
138.118995,-57.745995,90.0,top,R4,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,22Ω,tht
161.232995,-111.847995,180.0,top,R5,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,75Ω,tht
161.232995,-105.243995,180.0,top,R6,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,100Ω,tht
153.612995,-101.941995,0.0,top,R7,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1KΩ,tht
161.232995,-115.149995,180.0,top,R8,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,75Ω,tht
161.232995,-108.545995,180.0,top,R9,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,75Ω,tht
134.090995,-108.493995,90.0,top,SW1,,,SW_PUSH_6mm,RESET,tht
130.716995,-101.993995,-90.0,top,SW2,,,SW_PUSH_6mm,WACKED,tht
140.262995,-87.070995,-90.0,top,U1,,,RaspberryPi_Pico_Common_Unspecified,RASPBERRY PI PICO,tht
109.924995,-60.793995,180.0,top,U2,,,SOIC-20W_7.5x12.8mm_P1.27mm,74LVC245,smt
147.135995,-69.810995,180.0,top,U3,TLV3202AID,,SOIC-8_3.9x4.9mm_P1.27mm,TLV3202,smt
136.975995,-69.810995,180.0,top,U4,TLV3202AID,,SOIC-8_3.9x4.9mm_P1.27mm,TLV3202,smt
126.750995,-69.810995,180.0,top,U5,TLV3202AID,,SOIC-8_3.9x4.9mm_P1.27mm,TLV3202,smt
