Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Height,Mouser Part Number,Mouser Price/Stock,Manufacturer_Name
"C1, C10, C2, C3, C4, C5, C6, C7, C8, C9",10,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,,,,tht,,,,,
"H1, H2, H3, H4",4,MountingHole,MountingHole_3.2mm_M3,,,,tht,,,,,
J1,1,CPC VIDEO IN,SDF80J,,,,tht,Same Sky SDF-60J 6-pin DIN Socket,,,,
J2,1,LUM OUT,1560099E,,,,tht,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",,,,
J3,1,+5V IN,BarrelJack_Horizontal,,,,tht,DC Barrel Jack,,,,
J4,1,VFREQ,PinHeader_1x02_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,
J5,1,SPARE GPIO,PinHeader_1x07_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x07, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,
J6,1,VGA OUT,DSUB-15-HD_Socket_Horizontal_P2.29x2.54mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm,,,,tht,"15-pin D-SUB connector, socket (female), High density (3 columns), Triple Row, Generic, VGA-connector, Mounting Hole",,,,
J7,1,CPC PLUS VIDEO IN,SDF80J,,,,tht,8-pin DIN connector,,,,
J8,1,CPC PLUS AUDIO OUT,SJ335083ATR,,,,tht,"Audio Jack, 3 Poles (Stereo / TRS)",,,,
"R1, R11, R2, R3, R7, R8",6,75Ω,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,,,,tht,"Resistor, small symbol",,,,
"R10, R6, R9",3,150Ω,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,,,,tht,"Resistor, small symbol",,,,
"R12, R13",2,220Ω,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,,,,tht,"Resistor, small symbol",,,,
"R14, R15, R20",3,1.2KΩ,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,,,,tht,"Resistor, small symbol",,,,
"R16, R18, R21, R4",4,100Ω,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,,,,tht,"Resistor, small symbol",,,,
"R17, R19, R22",3,680Ω,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,,,,tht,"Resistor, small symbol",,,,
R5,1,1KΩ,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,,,,tht,"Resistor, small symbol",,,,
SW1,1,RESET,SW_PUSH_6mm,,,,tht,"Push button switch, generic, two pins",,,,
SW2,1,WACKED,SW_PUSH_6mm,,,,tht,"Push button switch, generic, two pins",,,,
U1,1,RASPBERRY PI PICO2,RaspberryPi_Pico_Common_Unspecified,,,,tht,"Versatile and inexpensive microcontroller module powered by RP2040 dual-core Arm Cortex-M0+ processor up to 133 MHz, 264kB SRAM, 2MB QSPI flash; also supports Raspberry Pi Pico 2",,,,
U2,1,74LVC245,SOIC-20W_7.5x12.8mm_P1.27mm,,,,smt,"Octal BUS Transceivers, 3-State outputs",,,,
"U3, U4, U5",3,TLV3212,SOIC-8_3.9x4.9mm_P1.27mm,,TLV3202AID,,smt,"Dual, 40ns, microPower, Rail-to-Rail input  Comparator with Push-pull outputs",1.75,595-TLV3202AID,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TLV3202AID?qs=b5Ofe9I6AaEPCPyfWxMBkg%3D%3D,Texas Instruments
