pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
138.557,-109.22,90.0,top,C1,,,C_Disc_D3.0mm_W2.0mm_P2.50mm,100nF,tht
175.34,-102.308,90.0,top,J1,,,SDF80J,CPC VIDEO IN,tht
97.408,-65.19,-90.0,top,J2,,,1560099E,LUM OUT,tht
160.274,-112.364,90.0,top,J3,,,BarrelJack_Horizontal,+5V IN,tht
150.912,-108.94,0.0,top,J4,,,PinHeader_1x02_P2.54mm_Vertical,VFREQ,tht
146.662,-123.19,-90.0,top,J5,,,PinHeader_1x07_P2.54mm_Vertical,SPARE GPIO,tht
102.697331,-107.01,-90.0,top,J6,,,DSUB-15-HD_Socket_Horizontal_P2.29x2.54mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm,VGA OUT,tht
175.547,-65.525,90.0,top,J7,,,SDF80J,CPC PLUS VIDEO IN,tht
91.312,-81.855,0.0,top,J8,,,SJ335083ATR,CPC PLUS AUDIO OUT,tht
165.912,-109.69,180.0,top,R1,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,75Ω,tht
125.222,-114.305,-90.0,top,R10,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,820Ω,tht
122.682,-114.305,-90.0,top,R11,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,820Ω,tht
130.302,-114.305,-90.0,top,R12,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,220Ω,tht
127.762,-114.3,-90.0,top,R13,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,220Ω,tht
165.912,-107.19,180.0,top,R2,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,75Ω,tht
165.812,-102.19,180.0,top,R3,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,75Ω,tht
165.912,-104.69,180.0,top,R4,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,100Ω,tht
156.512,-104.69,0.0,top,R5,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,1KΩ,tht
115.062,-114.31,-90.0,top,R6,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,820Ω,tht
112.522,-114.31,-90.0,top,R7,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,820Ω,tht
120.147,-114.305,-90.0,top,R8,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,820Ω,tht
117.602,-114.31,-90.0,top,R9,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,820Ω,tht
146.662,-107.44,-90.0,top,SW1,,,SW_PUSH_6mm,RESET,tht
110.662,-65.44,90.0,top,SW2,,,SW_PUSH_6mm,WACKED,tht
141.6085,-88.646,-90.0,top,U1,,,RaspberryPi_Pico_Common_Unspecified,RASPBERRY PI PICO2,tht
135.382,-104.14,-90.0,top,U2,,,DIP-20_W7.62mm,74HCT245,tht
140.462,-55.245,0.0,top,U6,,,Comparator Daughterboard,Comparator Daughterboard,tht
